# id	versoes_no_jornal (broca-so/conversa/dados/conhecimento.graph.jsonl)
atencao_nasceu_da_traducao	4
atenuacao_e_propagacao_sobre_extents_t2x_2x_e_t_id	121
atestacao_projecao	2
ateus_vs_iluminados_gentil	5
atman_brahman	5
atman_imortal	4
atomo	12
atomo_mineral	5
atomo_periodo_1	2
atonalidade_dodecafonismo	2
atos_de_fala	9
atrator_fractal_ouro	5
atuador	3
atuador_colapso	5
atuadores_da_face	4
atualizacao_incremental	3
aura_benjamin	8
autenticacao_5g_aka	4
autenticacao_autorizacao	2
auto_jogo	3
auto_organizacao	4
auto_replicacao_reprap	4
autocomunicacao_de_massa	4
autodepreciacao	12
automatos_autorreprodutores	5
autonomia_do_paciente	4
autonomia_subtrativa	6
autonomia_veicular	3
autopoiese	8
autor_auteur	3
autoridade_e_rejeicao_gentil	7
autoridade_intrinseca	5
autoridades_intrinsecas_duas_fontes_de_autoridade_nao_deri	126
autoritarismo_vs_totalitarismo	3
autorizacao_de_um_principal	6
avaliacao_lazarus	6
avaliacao_por_aspecto	3
awk	4
axioma_da_escolha	4
axiomas_de_kolmogorov	4
axiomas_vnm	3
axiomas_zfc	6
axions_candidato	3
bac_cab_falha_r7	3
backend_isa12_broca	13
backend_ptx_sm75_funciona	42
backends	12
bai	50
bai_biblioteca_de_autorizacao_isomorfica	484
bai_como_bussola	4
bai_cosmologia_desitter_dissipativo	8
bai_cosmologia_quantica_tese	8
bai_delta	4
bai_deny_overrides	3
bai_e_a_cosmologia_quantica	18
bai_gate_dtc_orbita	128
bai_kappa	4
bai_limite_nao_dissipativo	5
bai_orbita_energia_por_trabalho	9
bai_orbita_reta_metalica	118
bai_orbita_seleciona_colapso	52
bai_penalidades_migradas	38
bai_phi	2
bai_psi_colapso	4
bai_quinteto_hub	10
bai_quinteto_hub_bai_hub_do_quinteto_κ_δ_φ_t_ψ	3
bai_quinteto_hub_contraexemplos	5
bai_quinteto_hub_fontes	5
bai_quinteto_hub_o_que_e	5
bai_quinteto_hub_ponte_broca-so	7
bai_quinteto_hub_propagacao_casl	6
bai_quinteto_hub_quinteto_bai	6
bai_quinteto_hub_referencia	3
bai_t_atenuacao	3
bai_tenant_plumbado	43
bai_tese_mae	6
bai_universalidade	4
bakhtin_dialogismo	4
balanca_de_poder	3
balanceamento_de_carga	10
balanco_de_enlace	5
banalidade_do_mal	3
banco_de_dados	4
banco_de_dados_grafo	6
banda_exclusiva_por_tecido	5
banda_proibida	2
bao_regua_padrao	2
barreira_hurwitz_qubits	7
barthes_punctum	4
base_cliente_por_banda	5
base_do_cliente	3
base_geral_core	2
base_phi_bergman	10
base_pi_bijecao	6
bases_pisot	6
bash	5
bateria_cristal_movel	4
bateria_de_tracao	2
bateria_eletroquimica	4
bazin_ontologia	3
bcs_bec_supercondutividade	2
beccaria_reforma_penal	3
bekenstein_hawking_entropia	5
beleza_desinteressada_kant	6
beleza_matematica	4
bell_chsh_tsirelson	3
belo_platonico	7
belo_teorema_engenhosidade	5
bemtevi_modo_puro	8
ben10_desenho	2
benchmark_operacional_fase2sh	3
benign_violation_mcgraw	6
bergson_o_riso	6
beta_numeracao_metalica	35
beta_o_correcao_octonica	4
bgp	4
bhakti_yoga	4
biblioteca_de_componentes	6
biblioteca_formas_minerais	4
biblioteca_mineral	9
biblioteca_pipe	5
bibtex	2
big_history	4
bilinguismo	3
biodiversidade	3
bioetica	4
biologia	59
biologia_celular	2
biologia_evolutiva	2
biomas	3
biopoder	4
bioquimica	2
biotecnologia	4
birkeland_correntes_plasma	99
birkeland_correntes_plasma_contraexemplos	4
birkeland_correntes_plasma_correntes_de_birkeland_filamentos_de_plasma	3
birkeland_correntes_plasma_evidencia	3
birkeland_correntes_plasma_falsificacao_dougherty_teste_2	4
birkeland_correntes_plasma_fontes	3
birkeland_correntes_plasma_o_que_sao	4
birkeland_correntes_plasma_ponte_broca-so	5
birkeland_correntes_plasma_referencia	3
birkeland_correntes_plasma_relacao_fisica_standard	4
bit	11
blefe_e_sinal	2
blend_contexto_32b	2
blockchain	36
bloco_idempotente_congelado	6
bobby_fischer	2
bohr_niveis_energia	2
bolha_de_filtro	5
bomba_nuclear	3
boneca_russa	3
boneca_russa_cayley_dickson	4
boost_algebrico	3
bootstrap_semantico	14
borboleta	9
borda_computador_classico_util_e_necessario	12
borda_contemplacao	15
borda_critica_vazio	7
borda_e_o_julia	6
borda_goldchain_mainnet	4
borda_livre_de_decoerencia	4
bordas_fronteira	10
born_e_o_colapso_do_bai	4
boson_higgs_125	3
bosons_w_z	3
botao_h_mtheory_g2	4
bound_leakage	3
branca_e_negra_no_gato	3
brinkmanship	3
broca-so_camada_de_trabalho_isomorfica	182
broca-so_cristalizado	20
broca-so_o_gato_no_metal	12
broca_a_face_onde_o_recall_age_e_o_idioma_que_ressoa	3
broca_borda_so_ctypes	3
broca_cockpit_engine	3
broca_cristal	63
broca_difusao_frac	2
broca_olho_servico_gex44	4
broca_os	619
broca_os_hub	29
broca_os_hub_broca_os_hub_do_sistema_fractal	3
broca_os_hub_contraexemplos	18
broca_os_hub_do_sistema_fractal	2
broca_os_hub_fontes	6
broca_os_hub_o_que_e	6
broca_os_hub_ponte_broca-so	19
broca_os_hub_referencia	3
broca_os_hub_sequencia_pow_nativa	7
broca_os_relaciona_possui_gerenciamento_de_processos	3
broca_rede_social_soberana	23
broca_so	67
broca_so_caixa_de_ouro	6
broca_so_no_metal	10
brousseau_situacoes_didaticas	3
bsd	2
bsd_a_intersecao_entre_as_retas_de_riemann	5
bsd_gap	4
bsd_matricial_grade_bits	322
btc_e_eth_dois_back-ends_de_uma_interface	9
budismo	3
build_prova	8
bullet_cluster	4
burgers_mvp	2
burocracia_weber	3
busca_monte_carlo_arvore	3
byrne	6
bytecode	8
c	47
c2_local_dsr	4
c_contagem_nao_velocidade	4
cabibbo_cp_nao_derivados	4
caca_ao_cervo	2
cache	24
cad_generativo	3
cada_andar_uma_mecanica	5
cadeia_admins_comunidade	5
cadeia_ativa_boost	15
cadeia_de_aprendizagem_tiffany	6
cadeia_de_decaimento	3
cadeia_de_fano_sigma	4
cadeia_ia_no_projecto	10
cadeia_real_o_genoma_x174	6
cadeia_trofica	3
cadeias_alem_dos_metais	11
cadeias_delta_decrescente	10
cadeias_dep_grant	5
cage_silencio	3
caixa_binaria_kbonacci	8
caixa_de_prata_corpo	11
caixas_fractais_generalizacao	3
calculo_engenharia	5
calculo_infinitesimal	4
calculo_lambda	12
camada_de_enlace	3
camada_fisica_nr	4
camada_l3_drena_purgatorio	24
camada_mac_nr	4
camada_no_colapso	116
camada_pdcp_nr	4
camada_rlc_nr	3
camada_rrc_nr	3
camada_sdap_nr	3
camadas	12
camadas_da_face	4
camadas_de_tecido	19
camadas_tiffany_multifractal	79
campo_psicologico_cuspide	5
campos_gravidade_gato_em_gamba	320
campos_locais_ca	4
canais_chave_assinatura	308
canais_fisicos_nr	3
canal	6
canal_parabolico_gate	4
canone_angustia_influencia	4
canone_literario	3
cantor_esferal_ns	3
cantor_infinitos	6
cantor_ouro	8
capacidade_abstrata	13
capacidade_canal_shannon	2
capacidade_casl_specializacao_da_definicao_com_x_linhas	64
capacidade_de_canal	6
capacidade_de_shannon	5
capacidade_uma_e_uma_tupla_c_o	63
capacidades_detidas_hold_p_e_o_menor_conjunto_que_contem	126
capital_cultural	7
capital_social_putnam	3
capitalismo_de_vigilancia	5
capra_tao_fisica	4
caracteristica_de_euler	6
caracterizacao_algebrica	6
caracterizacao_da_reta	10
carga_cognitiva	4
carga_coordenada	12
carga_q_n_sobre_3	6
carregador_publico	3
carro_eletrico	2
casa_fraca	2
cascata_multiescala	2
casl-propagation	137
caso_gramatical	3
caso_tuskegee	3
casos_degenerados	9
casos_uso_5g	2
catalogo_especies_pureza	4
catalogo_manifestjson	3
catarse	4
catedral_sigma_aritmetica	5
categorias_geograficas	3
causalidade_bradford_hill	4
cayley_dickson	2
cdm_deteccao_nula	2
cdm_tensoes_pequena_escala	2
celula	3
celula_canal_unidade_viva	4
celula_computador_mineral	5
celula_fotovoltaica	3
celula_mineral_hub	8
celula_unitaria	2
centro_de_gravidade	2
cerebro	5
certificado_tempo_semente	3
certificados_esperados	5
cf_de_pi_e_produto_de_gatos	5
cf_de_pi_gera_a_reta_mineral	5
cfr_minimizacao_arrependimento	3
cha_bussola_aurea	6
charles_darwin	2
charles_peirce	6
chat_aberto_cobre_explora	62
chave_corpo_molecular_estojo	320
chave_do_coracao	3
checklist_pr	4
checklist_sistema_autonomo_no_ar	3
chern_fibrado_hopf	5
chicote_e_o_crivo_de_selberg	10
chicote_e_o_tensor	22
chicote_emocional	15
chunk_id_global_unico	2
ci_cd	8
ciberespaco	3
cibernetica	3
cicero_diplomacy	3
ciclo_autoconsumo	3
ciclo_brayton	4
ciclo_carbono	3
ciclo_carnot	4
ciclo_de_vida_revogacao_e_expiracao	9
ciclo_experiencial_kolb	3
ciclo_i_canonico_floco_reta	4
ciclo_ii_reta_floco_canonico	5
ciclo_memoria_conhecimento	5
ciclo_rankine	4
ciclo_termodinamico_orbita	6
ciclo_uno	5
ciclos_biogeoquimicos	4
ciclos_vico	4
cidadania_marshall	4
cidade_na_borda	8
ciencia_da_computacao	5
ciencia_politica	4
ciencias	338
cifra	41
cifra_de_cristal	5
cifra_de_ouro_branco	66
cifra_do_gato_simetrica	5
cifra_metais_an	5
cifra_mudanca_de_base	5
cifra_ouro_branco	15
cifra_ouro_branco_nucleo_espectral	18
cifra_prova	25
cinco_forcas_porter	2
cinco_pilares	3
ciranda_ciclo_de_vida	3
circuito_como_torcao	3
circuito_integrado	5
circuito_integrado_analogico	4
circuito_logico	7
circuitos_eletricos	7
circulacao_atmosferica_oceanica	3
circumplexo_russell	6
ckm_pequena_pmns_grande	4
ckm_pmns_desalinhamento_s3	6
claro_escuro	2
classe_social	4
classes_p_np	8
classes_p_np_cook_levin	3
classificacao	6
classificacao_de_formas	8
classificador_evolucao_do_proxy	3
classificar_objeto_por_orbita	5
clausewitz_da_guerra	2
cli_cristal_quatro_verbos	32
cliente_de_alto_nivel	7
clima_vs_tempo	2
clojure	6
cloning_aproximado_fidelidade_s	3
closure	4
cltm_memoria_spin7	6
cmb_cobe_wmap_planck	2
cmb_terceiro_pico	4
cockpit_observatorio	5
cockpit_olho	3
code_is_law	6
codificacao_de_canal	3
codificacao_de_fonte	4
codificacao_decodificacao	4
codificacao_nr_ldpc_polar	3
codigo_conhecimento_lab	5
codigo_conversa_colapso	33
codigo_convolucional	3
codigo_de_hamming	3
codigo_genetico	11
codigo_genetico_beta4	4
codigo_goldchain_contabilidade	5
codigo_goldchain_contrato	8
codigo_goldchain_fluxo	33
codigo_goldchain_minerar	5
codigo_goldchain_pell	8
codigo_goldchain_prova	4
codigo_goldchain_radio_ponte	4
codigo_lab_prova_isomorfismo	32
codigo_moderno_capacidade	4
codigo_morto_fractal	3
codigo_neuronio_antena_canal	6
codigo_neuronio_experimentos_tiffany	33
codigo_neuronio_gentil_simbolico	6
codigo_neuronio_mina_gato	6
codigo_neuronio_primitivas_broca	6
codigo_neuronio_radio	6
codigo_neuronio_verificar_corpo_dual	5
codigo_neuronio_verificar_corpo_glacial	5
codigo_neuronio_verificar_ponte_gentil	6
codigo_robustez_erro	2
codigo_semiotico	3
codigo_so_goldchain	32
codigos_corretores_erro	2
codon_fora_da_ilha_hurwitz	5
cofre_parabola_hero	4
coisas_focais	3
colapso	393
colapso_3_para_1_zeta	3
colapso_camadas_ordem_parada	15
colapso_campo_local	4
colapso_fatorado_glifo	4
colapso_koch_operador_ψ_da_tiffany	4
colapso_koch_tiffany	25
colapso_koch_tiffany_camadas_de_tecido	9
colapso_koch_tiffany_colapso_koch_operador_ψ_da_tiffany	3
colapso_koch_tiffany_contraexemplos	5
colapso_koch_tiffany_fontes	5
colapso_koch_tiffany_operador_ψ_collapse	5
colapso_koch_tiffany_ponte_broca-so	8
colapso_koch_tiffany_quinteto_bai	5
colapso_koch_tiffany_referencia	3
colapso_koch_tiffany_relacao_com_hipoteses_externas	5
colapso_koch_tiffany_relacao_koch	10
colapso_multicamada_peso	5
colapso_observador	3
colapso_ping_pong_overlap	5
colisoes_koch_filtro	15
comando_latex	4
comandos	15
comparacao_dois_conceitos	30
compartilhamento_controlado_conceder_uma_capacidade_cross-	63
compartilhamento_nilpotente	3
compatibilidade	9
compilacao_jit	4
compilador	12
compilador_fractal_broca_cc	4
compilador_glsl_broca	80
compilador_glsl_fragment_ptx	8
compilador_glsl_ptx_real	28
compilador_glsl_statement_ptx	18
complexidade_de_kolmogorov	10
complexos	40
componente_passivo	3
componente_ui	6
composicao_multi-hop_e_clones	3
composicao_visual	2
compressao_espaco_tempo	3
comprimento_tensao_e_a_parabola	4
comprimir_aumenta_pressao	6
compromisso_credivel	4
computabilidade	43
computacao	77
computacao_como_area	6
computacao_em_nuvem	8
computacao_fractal	4
computacao_fundamentos_broca	105
computacao_grafica	3
computacao_matricial	6
computacao_reversivel	8
computador_mineral	8
computador_mineral_promovido	287
computador_universal_pnp	507
comunicacao	4
comunicacao_digital	4
comunicacao_iconoclasta_gentil	6
comunicacao_optica	5
comunicacao_por_satelite	4
comunicacoes_moveis	5
comunidade_organica_por_banda	5
comunidades_imaginadas_anderson	5
comutacao_de_caminho	2
comutacao_de_pacotes	4
comutador_algebrico	4
concessao_valida_atenuacao_a_aresta_u_w_e_se_existe_0_h	61
conclusao	45
conclusao_automatica	5
conclusao_automatica_medicao_nao_hipotese	10
concordancia	2
concorrencia_cayley_dickson	4
concorrencia_paralelismo	4
condicionamento_operante	4
condutor_isolante_semicondutor	2
cone_luz_critico	3
conectividade	2
conexionismo_thorndike	4
confianca_epistemica	4
confianca_minimizada	5
config_24_rings	3
confinamento_cor	3
confronto_millennium_compacto	360
confucionismo	3
conhecimento_e_memoria	3
conhecimento_skn_scoring	10
conhecimento_tacito_corporificado	4
conjectura_brown	3
conjectura_de_poincare	6
conjugados_galois_parabola	38
conjunto_dougherty	51
conjunto_vigente_e_colapso_seja_i_capacidades_detida	121
consciencia	17
consciencia_pura	5
consciencia_software_universo_gentil	6
conscientizacao	4
consenso_distribuido	10
consentimento_informado	3
consequencias_e_direcoes	5
conservacao_energia_plancherel	45
conservacao_parabola_costura	113
consistencia_eventual	6
console_do_operador_lab	5
consonancia_dissonancia	3
constante_168	4
constantes_horizonte_algebricas	4
constantes_teoria_extremal	2
constitucionalismo	4
construcao_social_tecnologia	4
construcao_vs_crivo	3
construcao_z_equivalencia	3
construtivismo_piaget	3
construtivismo_vs_instrucionismo	5
construtivismo_wendt	4
consulta_simples	8
conta_pronta_gate	3
contabilidade	18
contabilidade_sem_livro	3
contador_binario_ns	2
container	6
contemplacao	6
conteudo_inicial_mvp_core	2
contexto_32b_disco_nao_ram	16
contingencia_historica	2
continua_ultimo_face	15
continuidade_nonce_nonce	6
continuidade_temporal_espacial	15
continuo_quase_saturado	16
contracao_einstein_k_tensorial	47
contradicao	6
contraexemplo	55
contraexemplos	51
contraexemplos_conhecidos	3
contraexemplos_hardness	2
contraponto	2
contraste_mesma_maquina_duas_fisicas	4
contrato_cristalchain	12
contrato_didatico	3
contrato_objeto	2
contrato_social	5
controle_de_congestao	3
controle_de_versao	4
controle_negativo_por_que_antifase_estrita_nao_basta	5
convencao_hermitian_vs_quaternion	3
convencao_vs_verdade_gentil	6
convergencia_galerkin	3
conversa_lex	2
conversa_recupera_nao_gera	15
conversa_tiffany	10
conversao_ad_da	2
conversao_como_traducao_formal	6
conversao_eletromecanica	4
conversao_mat_latex	5
conversor_ad	6
conversor_ad_da_disc	3
conversor_de_potencia	5
coordenada_bottcher	4
coordenadas_koch	4
cor_baricentrica_faces	6
cor_fisica_falsificacao	100
coracao	6
cordas_ilha_hurwitz	6
corolario_analitico_o_operador_de_riemann_koopman_e_s-ds	10
corolario_aritmetico_a_torre_de_metais_e_ecc_bsd	10
corolario_pivo_interlingua	5
corollary_a_atencao_cristalina_herda_o_limitecoratencao_t	4
corollary_compartilhamento_controlado_conceder_uma_capacid	6
corollary_conservacao_da_normacorcons_a_isometria_de_e	5
corollary_expiracao_cascateia_sozinha_como_filho_pai	4
corollary_isolamento_de_tenant_um_usuario_comum_da_organiz	3
corpo_dual	335
corpo_edp	87
corpo_entropico_anel	4
corpo_entropico_sombra	80
corpo_equacoes_diferenciais	76
corpo_estelar	19
corpo_estelar_le_o_rastro	15
corpo_f2k	3
corpo_gauss_modp	4
corpo_glacial	187
corpo_matricial_matrix	444
corpo_mineral	22
corpo_morfico_matrix	96
corpo_primos_mineral	6
corpo_topologico	15
corpo_tropical	157
corpo_vesicular_parabolas_costuras	116
corpos	15
corpos_e_aneis	6
correcao_erro_quantica	2
correlacao_divergente	3
correlacoes_conjunto_local	4
corrente_alternada	8
corrente_alternada_continua	3
corrente_continua_alta_tensao	4
corrente_e_tensao	1
correntes_de_birkeland_filamentos_de_plasma	4
correspondencia_mat_latex	4
corrida	4
cortes_dedekind	6
cosmologia_fisica_3	4
cosmologia_quantica	116
cosmologia_quantica_hub	9
cosmologia_universal_omnitrix	245
costura_1equiv0_horizonte	3
costura_cobre_dobra10	71
costura_perelman_cicatrizes	6
costura_perelman_litografia	6
costura_prata_dobra8	104
costura_sem_media	3
costura_vesica_programa	60
cotacao_parabola	6
cp_leptonica_leptogenese	3
cpp	6
cpu_metal_c	4
cravada	2
crescer_regiao	8
crescimento_e_propagacao	4
crescimento_vorticidade	3
criacao_livre_fertilidade	5
